	C_1_tpm	C_2_tpm	C_3_tpm	VS_1_tpm	VS_2_tpm	VS_3_tpm
ABCA7	1.73138	0.538721	1.0272	0.800949	0.810812	0.757718
ABCA8	0.149917	0.27331300000000003	0.124268	0.19314800000000001	0.38451599999999997	0.12228499999999999
ABCA9	0.46054399999999995	0.276574	0.4459	0.156574	0.20086500000000002	0.354644
ABCB1	1.31408	1.3177	0.78781	1.48532	1.1279700000000001	1.4142700000000001
ABCB10	30.9906	28.1676	28.8432	26.9299	24.6483	28.288
ABCB10P1	0.0	0.0	0.0	0.0	0.0	0.0
ABCB10P3	0.0	0.0	0.0	0.0	0.0	0.0
ABCB10P4	0.0	0.0	0.0	0.0	0.0	0.0
ABCB11	0.0	0.0	0.0	0.0	0.0	0.0
ABCB4	3.04947	2.14567	2.3371299999999997	2.9683	2.49421	1.75773
ABCB5	69.5711	67.8998	67.6607	68.6019	62.7286	70.2481
ABCB6	65.1467	64.4415	66.382	77.0307	73.9267	71.2763
ABCB7	14.0752	15.0643	11.7049	13.1198	11.7375	13.6464
ABCB8	8.624239999999999	8.93698	7.06802	11.2076	11.0325	11.8711
ABCB9	1.48842	1.54426	1.6604700000000001	1.45591	2.29717	1.67219
ABCC1	8.13503	8.22942	8.453560000000001	7.363760000000001	7.08067	6.713210000000001
ABCC10	8.2288	7.74713	7.8199	9.48737	9.08202	8.191510000000001
ABCC11	0.21463000000000002	0.146682	0.125454	0.198574	0.190505	0.194527
ABCC12	0.0	0.0	0.0	0.0	0.0	0.0
ABCC13	0.0	0.027499700000000002	0.0	0.0	0.0	0.0
ABCC2	47.4421	46.8033	44.7315	43.0628	39.8367	45.4134
ABCC3	0.0466608	0.158385	0.0	0.189524	0.339208	0.18015
ABCC4	19.3312	19.7259	18.8309	18.3147	17.2986	18.8356
ABCC5	19.4216	19.2236	18.4291	19.2751	18.6367	19.3876
ABCC6	0.0546536	0.102726	0.0573121	0.0427304	0.0508556	0.0251826
ABCC6P1	0.0	0.0	0.0	0.0	0.0	0.0
ABCC6P2	0.0	0.0	0.0	0.0	0.0	0.0
ABCC8	0.0	0.0	0.0	0.0	0.0	0.0
ABCC9	0.0568448	0.04622009999999999	0.0500274	0.0247483	0.018666099999999998	0.101088
ABCD1	51.1379	49.0936	50.1024	49.6811	52.3166	49.2152
ABCD1P2	0.0	0.0	0.0	0.0	0.0	0.0
ABCD1P3	0.0	0.0	0.0	0.0	0.0	0.0
ABCD1P4	0.0	0.0	0.0	0.0	0.0	0.0
ABCD1P5	0.0	0.0	0.0	0.0	0.0	0.0
ABCD2	0.040316199999999996	0.0114036	0.052717200000000006	0.0200493	0.08360060000000001	0.0102288
ABCD3	40.618	38.696	39.1667	38.3328	37.585	40.7491
ABCD4	6.09433	5.14215	3.60115	3.9902	3.25632	3.50069
ABCE1	82.3547	85.14299999999999	78.6386	74.0407	72.5654	83.1278
ABCF1	31.6096	29.765	30.9477	29.7899	29.7586	29.0556
ABCF2	51.1475	52.1365	52.2554	50.6262	51.2397	50.2739
ABCF2P1	0.0	0.0	0.0	0.0	0.0	0.0
ABCF2P2	0.0	0.0	0.0	0.0	0.0	0.0
ABCF3	43.9786	43.3529	45.033	41.6107	44.8193	41.7485
ABCG1	0.0926829	0.09406339999999999	0.129641	0.113848	0.14646099999999998	0.0229979
ABCG2	0.0	0.0	0.0	0.0	0.0	0.0
ABCG4	0.0	0.0	0.0	0.0	0.30482600000000004	0.0170375
ABCG5	0.08706269999999999	0.049298699999999994	0.045518800000000005	0.0	0.10305399999999999	0.06624939999999999
ABCG8	0.0	0.0	0.0	0.0	0.0	0.0
ABHD1	0.313754	0.692732	0.64891	0.170798	0.22968000000000002	0.518938
ABHD10	22.9851	22.7316	23.9339	22.8703	22.0247	26.4649
ABHD11	19.0862	19.1396	20.7689	19.6788	18.4583	17.5648
ABHD11-AS1	0.422573	0.175171	0.348495	0.33399999999999996	0.388969	0.690724
ABHD12	51.5426	52.9499	56.1891	55.5445	58.6104	53.5496
ABHD12B	0.47701000000000005	0.421225	0.387531	0.26308000000000004	0.9384040000000001	0.48362
ABHD13	7.785760000000001	8.340160000000001	8.16882	7.3064	7.5929899999999995	7.76863
ABHD14A	21.5996	19.5449	19.8294	23.5991	24.8934	21.4304
ABHD14A-ACY1	1.12103	0.331881	0.566974	0.505371	1.12573	0.613891
ABHD14B	34.1531	33.1659	33.0073	31.8604	37.6295	32.3372
ABHD15	5.34435	5.4864	5.3884300000000005	5.7199800000000005	6.53892	5.5229800000000004
ABHD16A	8.01661	8.20523	7.846610000000001	7.878639999999999	9.27444	8.62825
ABHD16B	1.4276200000000001	2.01147	1.28568	2.10177	1.62754	1.4974399999999999
ABHD17A	58.8869	66.4492	61.2806	68.4532	67.9431	67.2436
ABHD17AP1	1.5523200000000001	2.3035200000000002	1.33731	1.82316	3.27675	2.59403
ABHD17AP3	0.0	0.0	0.0	0.0	0.0	0.0
ABHD17AP4	0.0	0.0	0.100779	0.0	0.0	0.0
ABHD17AP5	0.0	0.0	0.0	0.0	0.0	0.0
ABHD17AP6	0.0	0.0	0.0	0.0	0.0	0.0
ABHD17AP7	0.0	0.0	0.0	0.0	0.0	0.0
ABHD17AP8	0.0	0.0	0.0	0.0	0.0	0.0
ABHD17AP9	0.0	0.0	0.0	0.0	0.0	0.0
ABHD17B	21.9849	20.0674	22.25	20.6032	21.5543	20.2794
ABHD17C	6.35928	6.91487	6.50905	5.708419999999999	5.73854	6.10436
ABHD18	1.0593700000000001	1.6385299999999998	1.20763	1.69461	1.05926	1.69925
ABHD2	7.483110000000001	6.5413	6.2974	6.619389999999999	6.04748	6.4505
ABHD3	17.9779	18.3047	16.4759	16.473	16.5584	16.934
ABHD4	9.87641	9.30048	9.446489999999999	11.3716	10.9377	11.1997
ABHD5	39.3738	35.3382	37.1687	37.0434	34.7106	39.1484
ABHD6	5.7186	8.71707	7.1706	6.27215	6.58805	4.971509999999999
ABHD8	6.7111	8.33308	7.078880000000001	8.820030000000001	8.97967	8.32863
ABI1	35.9767	27.9566	31.3444	32.8168	34.5596	35.5505
ABI1P1	0.0	0.0	0.0	0.0	0.0	0.0
ABI2	13.4566	12.9201	11.4061	10.8542	12.3091	11.1033
ABI3	0.0	0.0	0.0	0.0	0.0	0.0
ABI3BP	0.172208	0.21768200000000001	0.394304	0.374028	0.220991	0.38305500000000003
ABL1	31.3179	29.6062	29.8924	28.7949	28.0071	28.7996
ABL2	26.8015	26.3527	27.5281	19.6899	19.5921	21.7006
ABLIM1	5.0984300000000005	5.000290000000001	5.617000000000001	4.50965	4.657030000000001	4.70059
ABLIM2	0.035915499999999996	0.0483649	0.0	0.0	0.252725	0.0
ABLIM3	0.0	0.0	0.0	0.034311	0.0	0.0350277
ABO	0.128938	0.0784702	0.228023	0.151837	0.10566500000000001	0.231273
ABR	20.798000000000002	23.916999999999998	21.1307	24.3574	20.9747	21.1543
ABRA	0.0	0.0	0.0	0.0240638	0.0	0.0
ABRACL	115.391	136.678	117.814	116.053	115.93299999999999	114.936
ABRAXAS1	4.70514	3.5859199999999998	5.04535	4.73599	5.50445	6.25809
ABRAXAS2	16.6805	18.2154	15.4089	15.264000000000001	14.5659	15.8926
ABT1	32.1453	33.2283	33.4009	30.4371	33.0524	30.8144
ABT1P1	0.0	0.0	0.0	0.0	0.0	0.0
ABTB1	0.896634	1.30765	1.46367	1.04657	1.2640200000000001	0.552845
ABTB2	3.75279	3.37994	3.6265	3.82245	3.7995400000000004	3.63699
AC000041.1	0.0	0.0	0.0	0.0	0.0	0.0
AC000041.2	12.2011	0.0	6.60083	3.6862699999999995	6.84409	8.67801
AC000077.1	0.0	0.0	0.0	0.0	0.0	0.0
AC000078.1	0.14556	0.16659000000000002	0.151631	0.14395	0.340862	0.441928
AC000081.1	0.0	0.0	0.0	0.0	0.0	0.0
AC000089.1	0.0	0.0	0.0	0.0	0.0	0.0
AC000095.1	0.0	0.0	0.0	0.0	0.0	0.0
AC000095.2	0.0	0.137604	0.0	0.0	0.0	0.0
AC000111.2	0.0	0.0	0.0	0.0	0.0	0.0
AC000111.3	0.0	0.0	0.0	0.0	0.0	0.0
AC000362.1	0.0	0.0	0.0	0.0	0.0	0.0
AC000367.1	0.442042	0.16383499999999998	0.377944	0.159664	0.23744099999999999	0.450362
AC000374.1	0.0	0.0	0.0	0.0	0.0	0.0
AC001226.2	0.363267	0.162878	0.526896	0.21484	0.382416	0.219967
AC002056.1	0.0	0.0	0.0	0.0	0.0	0.0
AC002056.3	0.0	0.0	0.0	0.0	0.0	0.0
AC002069.1	0.0	0.0	0.0	0.0	0.0	0.0
AC002069.2	0.0	0.0	0.0	0.0	0.0	0.0
AC002075.1	0.0	0.0	0.0	0.0	0.0	0.0
AC002075.2	0.0	0.0	0.0	0.0	0.0	0.0
AC002076.2	0.0	0.0	0.0	0.0	0.0	0.0
AC002094.3	0.0	0.0	0.0	0.0	0.0	0.0
AC002115.2	0.0	0.0	0.0	0.0	0.0	0.0
AC002127.1	0.0	0.0	0.0	0.0	0.0	0.0
AC002310.3	0.0	0.0	0.0	0.0	0.0	0.0
AC002310.4	0.949428	0.0	0.0	0.0	0.0	0.0
AC002310.5	0.00198597	0.730935	0.0	0.00039864800000000004	0.0	0.0
AC002350.1	0.0	0.0	0.0	0.0	0.0	0.0
AC002366.1	0.0	0.0	0.0	0.0	0.0	0.0
AC002367.1	0.0	0.0	0.0	0.0	0.0	0.0
AC002381.1	0.0	0.0	0.0	0.0	0.0	0.0
AC002400.1	0.131555	0.300766	0.0	0.0	0.0	0.0
AC002429.1	0.0	0.0	0.0	0.0	0.0	0.0
AC002429.2	0.026156400000000003	0.0296399	0.027346499999999996	0.0	0.0309486	0.0
AC002456.2	0.0	1.66714	0.0	0.0	0.0	0.0
AC002472.2	2.1825799999999997	3.7770599999999996	2.45927	2.85577	2.8765	2.2995200000000002
AC002472.3	1.36594	1.17486	3.01874	2.36147	1.59548	2.5858
AC002472.4	0.0	0.0	0.0	0.0	0.0	0.0
AC002486.1	0.0	0.0	0.0	0.0	0.0	0.0
AC002486.2	0.0	0.0	0.0	0.0	0.218308	0.0
AC002487.1	0.0	0.0	0.0	0.0	0.0	0.0
AC002504.1	0.0	0.0	0.0	0.0	0.0	0.0
AC002511.3	1.89188	0.878497	2.34647	2.23394	0.875519	3.0573200000000003
AC002519.2	0.0	0.0	0.0	0.0	0.0	0.0
AC002524.1	0.0	0.0	0.0	0.0	0.0	0.0
AC002542.1	0.0	0.0	0.0	0.0	0.0	0.0
AC002543.1	0.0	0.0	0.0	0.0	0.0	0.0
AC002545.1	0.0	0.0	0.0	0.0	0.0	0.0
AC002553.2	0.0	0.0	0.0	0.0	0.0	0.0
AC002553.3	0.46301000000000003	0.0	0.0	1.9806599999999999	1.7812299999999999	0.0
AC002558.1	0.337913	0.128505	0.0	0.11152000000000001	0.0	0.0
AC002984.1	0.0	0.0	0.0	0.0	0.0	0.0
AC002985.1	0.629943	0.47634099999999996	0.210038	0.207438	0.24155700000000002	0.0
AC002996.1	0.0	0.0	0.0	0.0	0.0	0.0
AC003001.2	0.0	0.0	0.0	0.0	0.0	0.0
AC003002.1	24.4084	26.1068	32.495	26.0663	27.4964	26.737
AC003002.2	0.1578	0.0	0.0	0.0	0.0	0.145465
AC003002.3	0.0	0.0	0.0	0.381755	0.0	1.0126700000000002
AC003002.4	0.0	0.506973	0.223494	0.875094	0.265038	0.459337
AC003005.1	0.12153699999999999	0.0	0.0	0.0	0.0	0.0518744
AC003006.1	0.367438	0.0	0.0	0.0	0.0	0.0
AC003029.1	0.179898	0.0	0.0	0.177653	0.0	0.0
AC003042.2	0.0	0.11523199999999999	0.052710400000000004	0.0	0.05939969999999999	0.102369
AC003045.1	0.0	0.0	0.0	0.0	0.0	0.0
AC003071.1	0.0	0.0	0.0	0.0	0.0	0.0
AC003071.2	0.0	0.0	0.0	0.0	0.0	0.0
AC003072.1	0.700871	0.803994	1.2766600000000001	1.21146	1.84123	1.9485299999999999
AC003080.1	0.0	0.0	0.0	0.0	0.0	0.0
AC003102.2	0.0	0.0	0.0	0.0	0.0592082	0.0509939
AC003669.1	0.0	0.0	0.0	0.0	0.0	0.0
AC003685.2	0.0	0.0	0.0	0.0	0.0	0.0
AC003686.1	0.0	0.0	0.0	0.0	0.0	0.0
AC003688.1	0.0	0.0	0.0	0.0	0.0	0.0
AC003958.1	0.0	0.0	0.0	0.0	0.0	0.0
AC003958.3	0.0	0.0	0.0	0.0	0.0	0.0
AC003958.4	0.0	0.0	0.0	0.0	0.0	0.0
AC003976.1	0.0	0.0	0.0	0.0	0.0	0.0
AC003982.1	0.0	0.0	0.0	0.0	0.0	0.0
AC003989.1	0.0	0.0	0.0	0.0	0.23619099999999998	0.0
AC003989.2	0.0	0.0	0.0	0.0	0.0	0.0
AC004004.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004006.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004022.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004022.2	0.0	0.0	0.0	0.0	0.0	0.0
AC004024.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004057.1	475.93699999999995	567.137	540.857	538.466	678.579	475.602
AC004062.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004066.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004069.2	0.0	0.0	0.0	0.0	0.0	0.0
AC004074.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004076.1	0.0	0.181453	0.158696	0.0	0.0	0.0
AC004080.3	0.0	0.0	0.0	0.0	0.0	0.0
AC004099.1	0.0	0.0	0.173743	0.0	0.0	0.0
AC004129.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004129.2	0.0	0.0	1.9134900000000001	0.0	0.0	0.0
AC004134.1	0.0	0.0	0.0	0.0	0.0	1.46925
AC004217.1	0.0	0.0	0.238837	0.0	0.0	0.0
AC004217.3	0.0	0.0	0.0	0.0	0.0	0.0
AC004223.1	2.13289	0.0	2.1553299999999997	0.0	0.0	1.06043
AC004223.3	0.972268	0.20526	0.6510819999999999	0.0	0.252211	0.0
AC004224.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004232.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004233.2	0.100656	0.22820100000000001	0.07013939999999999	0.233356	0.0396727	0.06806430000000001
AC004263.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004381.2	0.0	0.0	0.0	0.0	0.0	0.0575321
AC004383.1	0.0	0.0	0.940893	1.78499	0.0	0.0
AC004386.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004386.2	0.0	0.0	0.0	0.0	0.0	0.0
AC004448.1	0.591646	0.337445	0.20574	0.782977	0.815422	0.39963699999999996
AC004448.2	0.0	0.0	0.0	0.0	0.0	0.0
AC004453.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004461.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004467.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004486.1	0.0	0.0	0.0	1.30574	0.0	1.4098899999999999
AC004522.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004534.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004552.1	0.0	0.0	0.660211	0.617667	0.0	0.0
AC004554.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004556.1	0.28124899999999997	1.6278700000000002	0.5448850000000001	0.50557	0.638733	0.574595
AC004584.2	0.0	0.0	0.0	0.0	0.0	0.0
AC004674.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004675.2	0.0	0.0	0.0	0.0	0.0	0.0
AC004678.1	0.182277	0.518976	0.0	0.18065	0.214417	0.0
AC004686.1	0.0	0.0	0.23170500000000002	0.439299	0.25904499999999997	0.0
AC004690.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004691.2	0.0	0.0	0.0	0.058827	0.0	0.0
AC004692.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004696.1	23.2927	26.1137	26.8337	25.2869	23.4515	21.3855
AC004706.2	0.0	0.0	0.0	0.0	0.0	0.0
AC004706.3	0.302525	0.200311	0.290662	0.0	0.0849748	0.0823325
AC004706.4	0.0920452	0.145896	0.308028	0.21963600000000003	0.087188	0.130753
AC004754.1	0.0	0.10423299999999999	0.0	0.0	0.0	0.0
AC004790.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004801.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004801.2	0.8048069999999999	1.48069	1.10624	0.233469	0.41515	1.31316
AC004805.1	0.0	0.0	0.334575	0.0	0.0	0.0
AC004805.2	0.0	0.0	0.0	0.0	0.0	0.0
AC004805.3	0.0	0.0	0.0	0.0	0.0	0.0
AC004812.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004815.1	0.0	0.0	0.6887949999999999	0.0	0.0	0.0
AC004825.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004832.2	0.0	0.0	0.0	0.0	0.0	0.0
AC004832.3	0.0	0.0	0.0	0.0	0.0	0.0
AC004835.2	0.0	0.0	0.0	0.0	0.0	0.0
AC004837.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004840.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004840.2	0.0	0.0	0.0	0.0	0.0	0.0
AC004852.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004852.3	0.0	0.0	0.0	0.0	0.0	0.0
AC004853.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004853.2	0.0	0.0	0.0	0.0	0.0	0.0
AC004854.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004858.1	0.0	1.36937	0.0	0.0	0.0	0.0
AC004865.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004866.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004866.2	0.0	0.0	0.0	0.0	0.0	0.0
AC004870.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004884.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004890.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004890.2	0.8290120000000001	0.246806	0.315924	0.793624	0.28718	1.6541099999999997
AC004890.3	0.07282539999999998	0.0828155	0.0760169	0.144467	0.0	0.0738007
AC004893.1	0.0	0.303832	0.0559023	0.0	0.0	0.0
AC004898.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004899.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004910.1	0.0	0.13307	0.0	0.0	0.141708	0.0
AC004911.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004922.1	16.7812	11.8571	14.8638	15.4441	16.285999999999998	13.4218
AC004923.1	0.23724499999999998	0.135413	0.247279	0.117421	0.139854	0.120082
AC004923.2	0.0	0.0	0.0	0.0	0.0	0.0
AC004923.3	0.0	0.0	0.0	0.0	0.0	0.0
AC004924.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004938.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004941.2	0.0	0.0	0.0	0.0	0.0	0.0
AC004945.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004951.2	0.464825	0.265361	0.621218	0.47443	0.578505	0.367096
AC004951.3	0.20530500000000002	0.0	0.0	0.271566	0.08066569999999999	0.0693585
AC004965.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004967.1	5.26319	4.19206	8.85995	9.0495	9.140139999999999	5.969469999999999
AC004975.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004980.1	1.0778	1.0739100000000001	1.23989	1.11414	1.1867	1.3065
AC004980.2	0.0	0.177392	0.0	0.0	0.0	0.0
AC004980.3	0.0	0.0	0.0	0.0	0.0	0.0
AC004980.4	0.0	0.0	0.0	0.0	1.8650400000000003	0.0
AC004980.5	1.0778	1.0739100000000001	1.23989	1.11414	1.1867	1.3065
AC004980.6	0.0	0.177392	0.0	0.0	0.0	0.0
AC004986.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004987.1	0.0	0.0	0.0	0.0	0.0	0.0
AC004987.2	0.0	0.0	0.0	0.0	0.0	0.0
AC004987.3	0.0	0.0	0.0	0.0	0.0	0.0
AC004987.4	0.0	0.0	0.0	0.0	1.4654	0.0
AC004997.1	0.168046	0.0	0.0	0.0	0.131918	0.0
AC005000.1	0.999848	0.0	0.0	0.935709	0.0	0.968175
AC005000.2	0.0	0.0	0.0	0.0	0.8936629999999999	0.0
AC005002.1	0.0	0.0	0.0	0.0	0.0	0.0
AC005002.2	0.0	0.0	0.0	0.0	0.0	0.0
AC005005.1	0.0	0.0	0.0	0.0	0.0	0.0
AC005005.2	0.0	0.0	0.0	0.0	0.0	0.0
AC005008.1	0.0	0.0	0.0	0.0	0.0	0.0
AC005011.1	0.0	0.0	0.0	0.0	0.0	0.0
AC005014.1	0.0	0.0	0.0	0.0	0.0	0.0
AC005017.1	0.0	0.0	0.0	0.265373	0.0	0.0
AC005019.1	0.0	0.0	0.0	0.0	0.0	0.0
AC005020.1	0.466054	0.537439	0.0	0.0	0.0	0.0
AC005020.2	0.0	0.131574	0.0	0.11431500000000001	0.0	0.118629
AC005033.1	0.0	0.0	0.0	0.0	0.0	0.0
AC005034.1	0.0	0.0	0.0	0.0	0.0	0.0
AC005040.1	0.0	0.0	0.0	0.0	0.0	0.0
AC005041.1	0.0691669	0.0818387	0.021749900000000003	0.10918299999999999	0.129889	0.0569966
AC005041.2	0.0	0.0	0.0	0.0	0.0	0.0
AC005042.1	0.0	0.516949	0.23614899999999997	0.22428499999999998	0.0	0.0
AC005042.3	0.0	0.0	0.0	0.0	0.0	0.0
AC005066.1	0.0	0.0	0.0	0.0	0.0	0.0
AC005070.1	0.528263	0.0	0.0	0.0	0.0	0.0
AC005070.2	0.0	0.0	0.0	0.0	0.0	0.0
AC005077.1	0.0	0.0	0.0	0.0	0.0	0.0
AC005077.2	0.142796	0.0	0.0	0.141248	0.0	0.0
AC005077.3	0.0	0.0	0.0	0.0	0.0	0.0
AC005077.4	0.22378499999999998	0.35894000000000004	0.195022	0.185411	0.264964	0.340597
AC005084.1	0.0	0.0	0.0	0.0	0.0	0.0
AC005086.2	0.0	0.0	1.4165299999999998	0.0	0.0	0.0
AC005086.3	0.0	0.0	1.56265	1.45414	5.38896	1.67031
AC005086.4	0.0	1.88831	0.0	4.44085	1.7646	0.0
AC005088.1	0.0	0.0	1.05702	0.0	0.0	0.0
AC005094.1	0.0	0.0	0.0	0.0	0.0	0.0
AC005099.1	0.0	0.0	0.0	0.0	0.0	0.0
AC005102.1	0.0	0.0	0.0	0.0	0.0	0.0
AC005104.2	0.0	0.0	0.0	0.0	0.0	0.0
AC005105.1	0.0	0.0	0.0	0.0	0.0	0.0
AC005154.2	0.48377299999999995	0.558743	0.0	0.0	0.5568390000000001	0.0
AC005154.3	0.5886680000000001	0.775065	0.673608	0.605358	0.330902	0.726359
AC005154.6	2.28734	5.47368	5.849	3.38615	5.2093300000000005	3.4535400000000003
AC005156.1	0.0	0.0	0.205456	0.19487100000000002	0.230143	0.0
AC005165.2	0.480484	0.0	0.0	0.0	0.0	0.0
AC005176.1	0.231379	0.21837600000000001	0.487361	0.07717769999999999	0.207171	0.15626700000000002
AC005176.2	0.0	0.0	0.0	0.0	0.0	0.0
AC005178.1	0.0	0.0	0.0	0.0	0.0	0.0
AC005181.1	0.0	0.0	0.0	0.0	0.0	0.0
AC005183.1	0.0	0.039884699999999995	0.0	0.0	0.0	0.0
AC005185.1	0.0	0.0	0.0	0.0	0.0	0.0
AC005189.1	0.0	0.0	0.0	0.0	0.0	0.0
AC005191.1	0.0	0.0	0.0	0.0	0.0	0.0
